Bill Number,Short Title,Ministry,Member,Date of Introduction,Debate/Date Passed in LS,Debate/Date Passed in RS,Status,Act No,Assent Date,Gazeette Notification,Referred to Committee Date
26,"The Appropriation (Railways) Bill, 2001                                                                                                                                                                 ",RAILWAYS,,20 Mar 2001,20 Mar 2001,21 Mar 2001,Assented,6  of 2001,24/03/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-26-gaz.pdf?source=loksabhadocs,
23,"The  Hyderabad Export Duties  (Validation) Repeal Bill, 2001                                                                                                                                            ",,,12 Mar 2001,12 Mar 2001,23 Aug 2001,Assented,26  of 2001,29/08/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-23-gaz.pdf?source=loksabhadocs,
XXX                 ,"The Influx from Pakistan (Control) Repealing (Repeal) Bill, 2001                                                                                                                                        ",HOME AFFAIRS,,8 Mar 2001,21 Aug 2001,6 Aug 2001,Assented,33  of 2001,03/09/2001 ,,
XXVIII              ,"The Pre-Natal Diagnostic Techniques (Regulation and Prevention of Misuse) Amendment Bill, 2001                                                                                                          ",HEALTH AND FAMILY WELFARE,,7 Mar 2001,21 Aug 2001,6 Aug 2001,Assented,32  of 2001,03/09/2001 ,,
17,"The Finance Bill, 2001                                                                                                                                                                                  ",,,28 Feb 2001,25 Apr 2001,26 Apr 2001,Assented,14  of 2001,11/05/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-17-gaz.pdf?source=loksabhadocs,
13,"The Banking Companies (Legal Practitiners ` Clients` Accounts) Repeal Bill, 2001                                                                                                                        ",,,26 Feb 2001,3 Jul 2001,8 Jun 2001,Assented,20  of 2001,26/08/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-13-gaz.pdf?source=loksabhadocs,
38,"The Government of Union Territories and the National Capital Territory of Delhi (Amdt.), 2001                                                                                                           ",HOME AFFAIRS,,8 Feb 2001,16 Aug 2001,27 Aug 2001,Assented,38  of 2001,06/09/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-38-gaz.pdf?source=loksabhadocs,
L                   ,"The Indian Railways Companies (Repeal) Bill, 2001                                                                                                                                                       ",RAILWAYS,,8 Jan 2001,20 Aug 2001,8 Jun 2001,Assented,24  of 2001,29/08/2001 ,,
LI                  ,"The Railways Companies (Substitution of Parties in Civil Proceedings) Repeal Bill, 2001                                                                                                                 ",RAILWAYS,,8 Jan 2001,20 Aug 2001,8 Jun 2001,Assented,25  of 2001,29/08/2001 ,,
16,"The Taxation laws (Amdt.) Bill,2001                                                                                                                                                                     ",,,3 Jan 2001,3 Feb 2001,3 Dec 2001,Assented,4  of 2001,20/03/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2001-16-gaz.pdf?source=loksabhadocs,
XXV                 ,"The Industrial Disputes (Banking Companies) Decesion (Repeal) Bill, 2001                                                                                                                                ",LABOUR,,3 Jan 2001,24 Jul 2001,25 Apr 2001,Assented,19  of 2001,08/03/2001 ,,
LXXXII              ,"The Code of Civil Procedure ( Amendment) Bill, 2002                                                                                                                                                     ",,,22 Dec 2000,13 May 2002,5 Aug 2002,Assented,22  of 2002,23/05/2002 ,,
LXXXII              ,"The Code of Civil Proudutre (Amendment) Bill, 2002                                                                                                                                                      ",,,22 Dec 2000,,,Assented,22  of 2002,23/05/2002 ,,
207,"The Appropriation (Railways) No.5 Bill,2000.                                                                                                                                                            ",RAILWAYS,,20 Dec 2000,20 Dec 2000,22 Dec 2000,Assented,3  of 2001,04/01/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-207-gaz.pdf?source=loksabhadocs,
220,"The Fiscal Responsiblitiy and Budget Management Bill, 2000                                                                                                                                              ",FINANCE,,20 Dec 2000,7 May 2003,29 Jul 2003,Assented,39  of 2003,26/08/2003 ,,
LXXX                ,"The U.P. Sugarcane Cess (Validation) Repeal Bill, 2001                                                                                                                                                  ","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,20 Dec 2000,24 Jul 2001,25 Apr 2001,Assented,17  of 2001,08/03/2001 ,,
LXXXI               ,"The Post Graduate Institute of Medical Education and Research, Chandigarh (Amendment) Bill, 2001                                                                                                        ",HEALTH AND FAMILY WELFARE,,20 Dec 2000,24 Jul 2001,12 Mar 2001,Assented,18  of 2001,03/08/2001 ,,
204,"The Appropriation (No. 5) Bill,2000.                                                                                                                                                                    ",,,19 Dec 2000,19 Dec 2000,22 Dec 2000,Assented,2  of 2001,01/04/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-204-gaz.pdf?source=loksabhadocs,
208,"The Aircraft (Exemption From Taxes and Duties on Fuel and Lubricants) Bill,2000                                                                                                                         ",CIVIL AVIATION,,18 Dec 2000,5 Aug 2002,16 May 2002,Assented,36  of 2002,06/11/2002 ,,
209,"The Water (Prevention and Control of Pollution) Cess (Amendment) Bill, 2000                                                                                                                             ",ENVIRONMENT AND FORESTS,,15 Dec 2000,18 Feb 2003,26 Feb 2003,Assented,19  of 2003,13/03/2003 ,,
211,"The National Bank For Agriculture and Rural Development (Amendment) Bill, 2000                                                                                                                          ",,,15 Dec 2000,18 Dec 2000,20 Dec 2000,Assented,55  of 2000,30/12/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-211-gaz.pdf?source=loksabhadocs,
LXXVI               ,"The Indian Divorce (Amendment) Bill, 2001                                                                                                                                                               ",,,15 Dec 2000,30 Aug 2001,27 Aug 2001,Assented,51  of 2001,24/09/2001 ,,
LXXVII              ,"The Vaccination (Repeal) Bill, 2001                                                                                                                                                                     ",HEALTH AND FAMILY WELFARE,,15 Dec 2000,24 Jul 2001,3 Dec 2001,Assented,16  of 2001,08/03/2001 ,,
194,"The Colonial Prisoners Removal (Repeal) Bill, 2000                                                                                                                                                      ",HOME AFFAIRS,,13 Dec 2000,22 Feb 2001,25 Apr 2001,Assented,12  of 2001,09/05/2001 ,,
198,"The Cine-Workers Welfare Fund ( Amendment) Bill, 2000                                                                                                                                                   ",LABOUR,,13 Dec 2000,20 Nov 2001,12 Apr 2001,Assented,56  of 2001,13/12/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-198-gaz.pdf?source=loksabhadocs,
203,"The Taxation Laws (Amendment) Bill, 2000.                                                                                                                                                               ",,,13 Dec 2000,19 Dec 2000,22 Dec 2000,Assented,1  of 2001,01/04/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-203-gaz.pdf?source=loksabhadocs,
42,"The Salary, Allowances and Pension of  Members of  Parliament (Amendment) Bill, 2000                                                                                                                    ",PARLIAMENTARY  AFFAIRS,,5 Dec 2000,16 May 2000,17 May 2000,Assented,17  of 2000,07/06/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-42-gaz.pdf?source=loksabhadocs,
179,"The Insurance Laws (Transfer of Business and Emergency Provision) Repeal Bill,2000                                                                                                                      ",,,30 Nov 2000,22 Feb 2001,25 Apr 2001,Assented,11  of 2001,09/05/2001 ,,
177,"The Central Road Fund Bill ,2000.                                                                                                                                                                       ",,,27 Nov 2000,12 Jan 2000,19 Dec 2000,Assented,54  of 2000,27/12/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-177-gaz.pdf?source=loksabhadocs,
170,"The Multi - State Co-oprative Societies Bill, 2000                                                                                                                                                      ",AGRICULTURE,,24 Nov 2000,5 Jun 2002,13 May 2002,Assented,39  of 2002,07/03/2002 ,,
LXXI                ,"The Chit-Funds (Amendment) Bill, 2001                                                                                                                                                                   ",,,24 Nov 2000,22 Feb 2001,19 Dec 2000,Assented,10  of 2001,09/05/2001 ,,
LXXII               ,"The  Judicial Administration Laws (Repeal) Bill, 2000                                                                                                                                                   ",,,24 Nov 2000,3 Feb 2001,22 Aug 2001,Assented,22  of 2001,29/08/2001 ,,
148,"The Auroville (Emergency Provisions) Repeal Bill, 2000                                                                                                                                                  ",HUMAN RESOURCE  DEVELOPMENT,,22 Nov 2000,3 Feb 2001,21 Aug 2001,Assented,37  of 2001,04/09/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-148-gaz.pdf?source=loksabhadocs,
149,"The Juvenile Justice (Care And Protection of Childern) Bill, 2000                                                                                                                                       ",SOCIAL JUSTICE AND EMPOWERMENT,,22 Nov 2000,18 Dec 2000,20 Dec 2000,Assented,56  of 2000,30/12/2000 ,,
LI                  ,"The Passport (Entry into India) Amendment Bill, 2000                                                                                                                                                    ",HOME AFFAIRS,,8 Nov 2000,28 Nov 2000,21 Aug 2000,Assented,47  of 2000,12/08/2000 ,,
23,"The Recovery of Debts Due to Banks and Financial Institutions (Amendment) Bill, 2000                                                                                                                    ",,,3 Sep 2000,13 Mar 2000,15 Mar 2000,Assented,1  of 2000,25/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-23-gaz.pdf?source=loksabhadocs,
26,"The Telecom Regulatory Authority of India (Amendment) Bill, 2000                                                                                                                                        ",,,3 Sep 2000,13 Mar 2000,15 Mar 2000,Assented,2  of 2000,25/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-26-gaz.pdf?source=loksabhadocs,
37,"The Indian Companies (Foregin Interests) and the Companies (Temporary Restriction on Dividends) Repeal Bill,2000                                                                                        ",,,3 Sep 2000,5 Oct 2000,26 Jul 2000,Assented,24  of 2000,08/11/2000 ,,
146,"The Appropritation (Railways) No.3, 2000                                                                                                                                                                ",RAILWAYS,,22 Aug 2000,22 Aug 2000,25 Aug 2000,Assented,42  of 2000,09/08/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-146-gaz.pdf?source=loksabhadocs,
147,"The Apprppriation (Railways) No. 4 Bill, 2000                                                                                                                                                           ",RAILWAYS,,22 Aug 2000,22 Aug 2000,25 Aug 2000,Assented,43  of 2000,08/09/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-147-gaz.pdf?source=loksabhadocs,
LIII                ,"The Indian Universities (Repeal) Bill, 2000                                                                                                                                                             ",HUMAN RESOURCE  DEVELOPMENT,,22 Aug 2000,22 Feb 2001,21 Nov 2000,Assented,36  of 2001,09/04/2001 ,,
144,"The Appropriation(No.3) Bill, 2000                                                                                                                                                                      ",,,21 Aug 2000,21 Aug 2000,22 Aug 2000,Assented,40  of 2000,09/08/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-144-gaz.pdf?source=loksabhadocs,
145,"The Appropriation (No.4) Bill, 2000                                                                                                                                                                     ",,,21 Aug 2000,21 Aug 2000,22 Aug 2000,Assented,41  of 2000,09/08/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-145-gaz.pdf?source=loksabhadocs,
LII                 ,"The Forfeiture (Repeal) Bill, 2000                                                                                                                                                                      ",HOME AFFAIRS,,17 Aug 2000,28 Nov 2000,21 Aug 2000,Assented,48  of 2000,12/08/2000 ,,
142,"The Aircraft (Amendment) Bill, 2000                                                                                                                                                                     ",CIVIL AVIATION,,16 Aug 2000,23 Nov 2000,29 Nov 2000,Assented,51  of 2000,12/11/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-142-gaz.pdf?source=loksabhadocs,
139,"The Punjab Municipal Coprporation Law (Extension to Chandigarh) Amendment Bill, 2000                                                                                                                    ",HOME AFFAIRS,,10 Aug 2000,23 Nov 2000,29 Nov 2000,Assented,50  of 2000,12/11/2000 ,,
123,"The State Financial Corporation (Amendment) Bill,2000.                                                                                                                                                  ",,,31 Jul 2000,8 Sep 2000,21 Aug 2000,Assented,39  of 2000,09/05/2000 ,,
96,"The Madhya Pardesh Reorganisation Bill, 2000                                                                                                                                                            ",HOME AFFAIRS,,25 Jul 2000,31 Jul 2000,9 Aug 2000,Assented,28  of 2000,25/08/2000 ,,
97,"The Bihar Reorganisation Bill, 2000                                                                                                                                                                     ",HOME AFFAIRS,,25 Jul 2000,2 Aug 2000,11 Aug 2000,Assented,30  of 2000,25/08/2000 ,,
98,"The Freedom of Information Bill, 2000                                                                                                                                                                   ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",,25 Jul 2000,3 Dec 2002,16 Dec 2002,Assented,5  of 2003,01/06/2003 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-98-gaz.pdf?source=loksabhadocs,
99,"The Border Security Force (Amendment) Bill, 2000                                                                                                                                                        ",HOME AFFAIRS,,25 Jul 2000,8 Mar 2000,21 Aug 2000,Assented,35  of 2000,09/01/2000 ,,
95,"The Uttar Pradesh Reorganisation Bill, 2000                                                                                                                                                             ",HOME AFFAIRS,,21 Jul 2000,1 Aug 2000,10 Aug 2000,Assented,29  of 2000,25/08/2000 ,,
133,"The Protection of Human Rights (Amendment) Bill,2000                                                                                                                                                    ",HOME AFFAIRS,,8 Jul 2000,23 Nov 2000,29 Nov 2000,Assented,49  of 2000,12/11/2000 ,,
XLIX                ,"The Multimodal Transportation of Goods (Amendment) Bill, 2000                                                                                                                                           ",,,8 Jul 2000,24 Nov 2000,22 Aug 2000,Assented,44  of 2000,12/05/2000 ,,
91,"The Iron and Steel Companies (Amalgamation and Takeover Laws) Repeal Bill, 2000                                                                                                                         ",STEEL,,15 May 2000,28 Jul 2000,8 Feb 2000,Assented,26  of 2000,08/11/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-91-gaz.pdf?source=loksabhadocs,
93,"The Biological Diversity Bill,2000                                                                                                                                                                      ",ENVIRONMENT AND FORESTS,,15 May 2000,12 Feb 2002,12 Nov 2002,Assented,18  of 2003,02/05/2003 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-93-gaz.pdf?source=loksabhadocs,
94,"The Leaders and Chief Whips of Recognised Parties and Groups in Parliament (Facilites) Amendment, 2000                                                                                                  ",PARLIAMENTARY  AFFAIRS,,15 May 2000,16 May 2000,17 May 2000,Assented,18  of 2000,06/07/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-94-gaz.pdf?source=loksabhadocs,
XXXI                ,"The Chemical Weapons Convention Bill, 2000                                                                                                                                                              ",CHEMICALS AND FERTILIZERS,,15 May 2000,16 Aug 2000,26 Jul 2000,Assented,34  of 2000,26/08/2000 ,,
XXX                 ,"The Trade Union (Amendment) Bill, 2001                                                                                                                                                                  ",LABOUR,,28 Apr 2000,24 Aug 2001,8 Feb 2001,Assented,31  of 2001,09/03/2001 ,,
82,"The Direct-Tax Laws (Miscellaneous) Repeal Bill, 2000                                                                                                                                                   ",,,24 Apr 2000,5 Oct 2000,,Assented,20  of 2000,06/09/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-82-gaz.pdf?source=loksabhadocs,
83,"The Insecticides (Amendment) Bill, 2000                                                                                                                                                                 ",AGRICULTURE,,24 Apr 2000,5 Aug 2000,24 Jul 2000,Assented,23  of 2000,08/05/2000 ,,
78,"The President`s Emoluments and Pension (Amendment) Bill, 2000                                                                                                                                           ",HOME AFFAIRS,,20 Apr 2000,28 Apr 2000,15 May 2000,Assented,14  of 2000,24/05/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-78-gaz.pdf?source=loksabhadocs,
77,"The Appropriation (Railways) No.2 Bill,2000                                                                                                                                                             ",RAILWAYS,,19 Apr 2000,19 Apr 2000,5 Mar 2000,Assented,9  of 2000,05/10/2000 ,,
50,"The Cotton Cloth (Repeal) Bill, 2000                                                                                                                                                                    ",TEXTILES,,18 Apr 2000,5 May 2000,26 Jul 2000,Assented,25  of 2000,08/11/2000 ,,
51,"The Cotton Textiles Cess (Repeal) Bill,2000                                                                                                                                                             ",TEXTILES,,18 Apr 2000,5 May 2000,,Assented,19  of 2000,06/09/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-51-gaz.pdf?source=loksabhadocs,
89,"The Motor Vehicles (Amendment) Bill, 2000                                                                                                                                                               ",,,5 Apr 2000,26 Jul 2000,8 Feb 2000,Assented,27  of 2000,08/11/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-89-gaz.pdf?source=loksabhadocs,
46,"The Appropriation (Vote on Account) Bill,2000                                                                                                                                                           ",,,16 Mar 2000,16 Mar 2000,16 Mar 2000,Assented,5  of 2000,27/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-46-gaz.pdf?source=loksabhadocs,
48,The Appropriation Bill 2000                                                                                                                                                                             ,,,16 Mar 2000,16 Mar 2000,16 Mar 2000,Assented,6  of 2000,27/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-48-gaz.pdf?source=loksabhadocs,
XX                  ,"The National Housing Bank (Amendment) Bill, 2000                                                                                                                                                        ",,,16 Mar 2000,5 Dec 2000,5 Oct 2000,Assented,15  of 2000,24/05/2000 ,,
43,"The Appropriation (Railways) Vote on Account Bill,  2000                                                                                                                                                ",RAILWAYS,,15 Mar 2000,15 Mar 2000,16 Mar 2000,Assented,3  of 2000,27/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-43-gaz.pdf?source=loksabhadocs,
45,"The Appropriation (Railways) Bill, 2000.                                                                                                                                                                ",RAILWAYS,,15 Mar 2000,15 Mar 2000,16 Mar 2000,Assented,4  of 2000,27/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-45-gaz.pdf?source=loksabhadocs,
XIX                 ,"The Indian Power Alcohol (Repeal) Bill, 2000                                                                                                                                                            ",CHEMICALS AND FERTILIZERS,,15 Mar 2000,16 Aug 2000,26 Jul 2000,Assented,32  of 2000,25/08/2000 ,,
XVIII               ,"The Sugarcane Control (Additional Powers) Repeal Bill, 2000                                                                                                                                             ","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,14 Mar 2000,5 Aug 2000,17 Apr 2000,Assented,13  of 2000,05/12/2000 ,,
125,"The Cable Television Network (Regulation) Amendment, 2000                                                                                                                                               ",INFORMATION AND BROADCASTING,,8 Mar 2000,8 Nov 2000,21 Aug 2000,Assented,36  of 2000,09/01/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-125-gaz.pdf?source=loksabhadocs,
38,"The Financial Bill, 2000                                                                                                                                                                                ",,,29 Feb 2000,4 May 2000,5 Sep 2000,Assented,10  of 2000,05/12/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-38-gaz.pdf?source=loksabhadocs,
XI                  ,"The Food Corporations (Amendment) Bill, 2000                                                                                                                                                            ","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",,28 Feb 2000,5 Aug 2000,17 Apr 2000,Assented,12  of 2000,05/12/2000 ,,
21,"The Energy Conservation Bill, 2000                                                                                                                                                                      ",POWER,,24 Feb 2000,17 Aug 2001,28 Aug 2001,Assented,52  of 2001,29/09/2001 ,,
84,"The Appropriation (No.2) Bill, 2000                                                                                                                                                                     ",,,5 Feb 2000,5 Feb 2000,5 Aug 2000,Assented,11  of 2000,05/12/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-84-gaz.pdf?source=loksabhadocs,
88,"The Rehabilitation Council of India (Amendment) Bill, 2000                                                                                                                                              ",SOCIAL JUSTICE AND EMPOWERMENT,,5 Feb 2000,8 Oct 2000,25 Aug 2000,Assented,38  of 2000,09/04/2000 ,,
182,"The Registration and Other Related Laws (Amendments) Bill,2000                                                                                                                                          ",,,12 Jan 2000,28 Aug 2001,31 Aug 2001,Assented,48  of 2001,24/09/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/2000-182-gaz.pdf?source=loksabhadocs,
XLVII               ,"The Workmens` Compensation (Amendment) Bill, 2000                                                                                                                                                       ",LABOUR,,8 Jan 2000,28 Nov 2000,22 Aug 2000,Assented,46  of 2000,12/08/2000 ,,
XLVIII              ,"The All India Institute of Medical Sciences (Amendment) Bill, 2000                                                                                                                                      ",HEALTH AND FAMILY WELFARE,,8 Jan 2000,16 Aug 2000,8 Mar 2000,Assented,33  of 2000,25/08/2000 ,,
XLIII               ,"The Central Industrial Security Force (Amendment and Validation) Bill, 1999                                                                                                                             ",HOME AFFAIRS,,30 Dec 1999,20 Dec 1999,12 Mar 1999,Assented,40  of 1999,29/12/1999 ,,
138,"The Electricity Regulatory Commission (Amendment)Bill,1999                                                                                                                                              ",POWER,,23 Dec 1999,3 Feb 2001,8 Jul 2001,Assented,21  of 2001,29/08/2001 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-138-gaz.pdf?source=loksabhadocs,
139,"The Companies (Second Amendment) Bill,1999                                                                                                                                                              ",,,23 Dec 1999,27 Nov 2000,30 Nov 2000,Assented,53  of 2000,13/12/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-139-gaz.pdf?source=loksabhadocs,
LII                 ,"The Explosive Substances (Amendment) Bill, 2001                                                                                                                                                         ",HOME AFFAIRS,,23 Dec 1999,12 Apr 2001,20 Nov 2001,Assented,54  of 2001,12/11/2001 ,,
LI                  ,"The Mizoram University Bill, 2000                                                                                                                                                                       ",HUMAN RESOURCE  DEVELOPMENT,,21 Dec 1999,16 Mar 2000,23 Dec 1999,Assented,8  of 2000,25/04/2000 ,,
137,"The Central Vigilance Commission Bill,1999                                                                                                                                                              ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",,20 Dec 1999,26 Feb 2003,8 Jul 2003,Assented,45  of 2003,09/11/2003 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-137-gaz.pdf?source=loksabhadocs,
L                   ,"The Semiconductor Integrated Circuits Layout Design Bill, 2000                                                                                                                                          ",INFORMATION AND BROADCASTING,,20 Dec 1999,16 Aug 2000,15 May 2000,Assented,37  of 2000,09/04/2000 ,,
XLIX                ,"The Patents (Amendment) Bill, 2002                                                                                                                                                                      ",COMMERCE AND INDUSTRY,Murasoli Maran Shri,20 Dec 1999,14 May 2002,9 May 2002,Assented,38  of 2002,25/06/2000 ,,
136,"The Small Industries Development Bank of India (Amendment) Bill, 1999                                                                                                                                   ",,,17 Dec 1999,22 Dec 1999,28 Feb 2000,Assented,7  of 2000,27/03/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-136-gaz.pdf?source=loksabhadocs,
135,"The Information Technology Bill, 1999                                                                                                                                                                   ",,,16 Dec 1999,16 May 2000,17 May 2000,Assented,21  of 2000,06/09/2000 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-135-gaz.pdf?source=loksabhadocs,
XLV                 ,"The Copyright (Amendment) Bill, 1999                                                                                                                                                                    ",HUMAN RESOURCE  DEVELOPMENT,,14 Dec 1999,22 Dec 1999,17 Dec 1999,Assented,49  of 1999,30/12/1999 ,,
128,"The Appropriation (Railways) No.4 Bill, 1999                                                                                                                                                            ",RAILWAYS,,13 Dec 1999,13 Dec 1999,21 Dec 1999,Assented,43  of 99,29/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-128-gaz.pdf?source=loksabhadocs,
XLIV                ,"The Designs Bill, 2000.                                                                                                                                                                                 ",COMMERCE AND INDUSTRY,Ranbir Singh Dr.,13 Dec 1999,28 Apr 2000,15 May 2000,Assented,16  of 2000,25/05/2000 ,,
96,"The Mines and Minerals (Regulation and Development) Amendment Bill,1999                                                                                                                                 ",,,30 Nov 1999,12 Aug 1999,13 Dec 1999,Assented,38  of 1999,18/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-96-gaz.pdf?source=loksabhadocs,
XXXVI               ,"The Indian Majority (Amendment) Bill, 1999                                                                                                                                                              ",,,30 Nov 1999,10 Dec 1999,1 Dec 1999,Assented,33  of 1999,16/12/1999 ,,
XXXVII              ,"The Marriage Laws (Amendment) Bill, 1999                                                                                                                                                                ",,,30 Nov 1999,20 Dec 1999,12 Jan 1999,Assented,39  of 1999,29/12/1999 ,,
XXXVIII             ,"The Administrators General (Amendment) Bill, 1999                                                                                                                                                       ",,,30 Nov 1999,12 Oct 1999,12 Jan 1999,Assented,34  of 1999,16/12/1999 ,,
73,"The Foreign Exchage Management Bill, 1999                                                                                                                                                               ",,,29 Nov 1999,12 Feb 1999,12 Aug 1999,Assented,42  of 1999,29/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-73-gaz.pdf?source=loksabhadocs,
72,"The Prevention of Money Laundering Bill, 1999                                                                                                                                                           ",,,29 Oct 1999,12 Feb 1999,25 Jul 2002,Assented,15  of 2003,17/01/2003 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-72-gaz.pdf?source=loksabhadocs,
66,"The Insurance Regulatory and Development Authority Bill,1999                                                                                                                                            ",,,28 Oct 1999,12 Feb 1999,12 Jul 1999,Assented,41  of 1999,29/12/1999 ,,
68,"The Securities Laws (Second Amendment) Bill, 1999                                                                                                                                                       ",,,28 Oct 1999,30 Nov 1999,12 Jan 1999,Assented,32  of 1999,16/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-68-gaz.pdf?source=loksabhadocs,
70,"The Securities Laws (Amendment) Bill, 1999                                                                                                                                                              ",,,28 Oct 1999,30 Nov 1999,12 Jan 1999,Assented,31  of 1999,16/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-70-gaz.pdf?source=loksabhadocs,
69,"The Contingency Fund of India (Amendment) Bill, 1999                                                                                                                                                    ",,,26 Oct 1999,28 Oct 1999,29 Oct 1999,Assented,29  of 1999,16/11/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-69-gaz.pdf?source=loksabhadocs,
71,"The Representation of the People (Amendment) Bill, 1999                                                                                                                                                 ",,,26 Oct 1999,28 Oct 1999,29 Oct 1999,Assented,30  of 1999,16/11/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-71-gaz.pdf?source=loksabhadocs,
129,"The Vice-President`s Pension (Amendment) Bill, 1999                                                                                                                                                     ",HOME AFFAIRS,,12 Oct 1999,20 Dec 1999,23 Dec 1999,Assented,45  of 99,30/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-129-gaz.pdf?source=loksabhadocs,
33,"The Goa Appropriation (Vote on Account) Bill, 1999                                                                                                                                                      ",,,3 Oct 1999,3 Oct 1999,15 Mar 1999,Assented,13  of 1999,22/03/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-33-gaz.pdf?source=loksabhadocs,
34,"The Goa Appropriation Bill, 1999                                                                                                                                                                        ",,,3 Oct 1999,3 Oct 1999,15 Mar 1999,Assented,14  of 1999,22/03/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-34-gaz.pdf?source=loksabhadocs,
121,"The Election Laws (Amendment) Bill, 1999                                                                                                                                                                ",,,12 Sep 1999,19 Feb 2003,27 Feb 2003,Assented,24  of 2003,22/03/2003 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-121-gaz.pdf?source=loksabhadocs,
122,"The National Trust for Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities Bill,1999                                                                           ",SOCIAL JUSTICE AND EMPOWERMENT,,12 Sep 1999,15 Dec 1999,23 Dec 1999,Assented,44  of 99,30/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-122-gaz.pdf?source=loksabhadocs,
134,"The Appropriation  (No. 4) Bill, 1999                                                                                                                                                                   ",,,12 Sep 1999,12 Sep 1999,14 Dec 1999,Assented,37  of 99,17/12/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-134-gaz.pdf?source=loksabhadocs,
17,"The Urban Land (Ceiling and Regulation) Repeal Bill, 1999                                                                                                                                               ",,,3 May 1999,3 Aug 1999,15 Mar 1999,Assented,15  of 1999,22/03/1999 ,https://sansad.in/getFile/BillsPDFFiles/Notification/1999-17-gaz.pdf?source=loksabhadocs,
